"product_id","name","category","price","original_price","discount_percent","rating_count","sold","image","size"
"899370754","[HCM]ĐẦM XÒE DỰ TIỆC SANG TRỌNG PHỐI NÚT SIÊU DỄ THƯƠNG","Váy","89000","178000","50","23","97","https://img.lazcdn.com/g/p/6ec540ac1564810275939747bb01e163.jpg_400x400q75.jpg","s|m"
"1890704054","[Quà 20k]Đầm lụa cao cấp tay lỡ DSTL0002","Váy","59000","295000","80","12","23","https://img.lazcdn.com/g/p/70f8e667ef5af66cafe48c3b97ab06c8.jpg_400x400q75.jpg","xl|m"
"2764037862","Váy len tăm cổ lọ dáng dài ôm body chất co dãn 4 chiều thời trang hàn quốc","Váy","89000","171154","48","0","0","https://img.lazcdn.com/g/p/b950154f8aa91f0d922a60e87126fc7e.jpg_400x400q75.jpg","s|xl|m"
"2093559638","Đầm váy thời trang nữ mặc đi chơi chất gấm cao cấp cổ tròn tay ngắn màu trắng dáng dài xoè đến gối","Váy","71000","147917","52","78","283","https://img.lazcdn.com/g/p/7ea2f88ec104b15c097b7b97d08026d1.jpg_400x400q75.jpg","s|xl|m"
"3078828731","KEYINGNG Váy Bó Sát Nữ Mùa Xuân Và Mùa Hè Váy Ôm Hông Váy Dây Treo Gợi Cảm Váy Đi Biển Ngoài Trời","Váy","72000","101408","29","26","63","https://img.lazcdn.com/g/p/4d62c468a70ea3e708db43ee8164f2c1.png_400x400q75.png","m|xl"
"2230521537","Váy Body Xốp Nhăn Cổ Đức Dáng Dài 4 Màu Cá Tính Có Ảnh Thật Kèm Video","Váy","59000","196667","70","8","23","https://img.lazcdn.com/g/p/252e633af3745d9243d8d62369cfaa74.jpg_400x400q75.jpg","xl|s|m"
"302234903","Đầm Nữ dáng Suông, váy Maxi thiết kế thời trang Đầm bầu nữ rẻ đẹp Fom to dưới 62kg","Váy","46500","94898","51","237","869","https://img.lazcdn.com/g/p/4273a553d193d78ec2c0431f9fbb598f.jpg_400x400q75.jpg","xl|s|m"
"2283186987","Đầm nữ thời trang mặc đi chơi chất voan hoa tay ngắn khoét cổ cúp ngực có mút váy maxi chéo tà xẻ đùi phong cách","Váy","53000","147222","64","59","254","https://img.lazcdn.com/g/p/f5eb00be7e685453510b73e764cb5fd0.jpg_400x400q75.jpg","m|s|xl"
"2909420455","Đầm jean tay ngắn cổ sơ mi có dây rút dáng mini thời trang xinh xắn DX","Váy","79000","98750","20","2","5","https://img.lazcdn.com/g/p/a2059609f46e1be2ee5628dc11f0ba7d.jpg_400x400q75.jpg","xl|s"
"3247508914","Đầm thời trang nữ phong cách tiểu thư chất Thun Tăm co giản cổ tròn viền bèo in trái tim tay ngắn ôm body dáng 4 tầng","Váy","148000","328889","55","2","0","https://img.lazcdn.com/g/p/e757a93fce772953afda52953e73a02c.jpg_400x400q75.jpg","xl|m|s"
"2564265452","ĐẦM body cột dây trễ vai rút dây tôn dáng dự tiệc sexy","Váy","69000","138000","50","6","51","https://img.lazcdn.com/g/p/f5ac2acbeef927e4eaaefbdc8df784fe.jpg_400x400q75.jpg","xl|s"
"1835257534","Váy đầm chất thô mềm mại thoải mái size đại cho bé gái10kg đến 36kg-đầm cho bé gái mùa hè 1 tuổi đến 5 tuổi siêu xinh-Đầm chân váy xòe rộng thoải mái tạo dáng đẹp,thấm hút mồ hôi tốt-Đầm cho bé gái thiết kế cổ sen đáng yêu","Váy","94000","154098","39","54","239","https://img.lazcdn.com/g/p/ad64f670e587034f74ee162c0a3c2932.jpg_400x400q75.jpg","m|xl|s"
"423240041","[HCM]ĐẦM XÒE DỰ TIỆC SANG TRỌNG KÈM BÔNG NGỌC TRAI DỄ THƯƠNG","Váy","75000","150000","50","106","430","https://img.lazcdn.com/g/p/3372b6494345b9afa44c3714050eaf9e.jpg_400x400q75.jpg","xl|m|s"
